Company,sentiment_score_polarity_min,sentiment_score_polarity_max,Rank
CVX,-0.999999000001,0.0,1.0
TRV,-0.708399365711358,-0.6382783879861363,2.0
CSCO,-0.5521739118431002,-0.4190317188330021,3.0
BA,-0.5277777769633059,-0.2659340653495954,4.0
HON,-0.4999999991197183,0.0,5.0
GS,-0.4964664306568317,-0.022222221728395,6.0
DIS,-0.4572025042647129,0.0,7.0
V,-0.4485981287448685,-0.1973684204033933,8.0
NVDA,-0.4082840228633451,0.0055248618479289,9.0
JNJ,-0.3989361691517655,0.999999000001,10.0
AAPL,-0.3904761886167801,0.0937499985351562,11.0
MSFT,-0.3883792037052623,0.0348258704735031,12.0
MMM,-0.3598409535589643,0.1204188478523066,13.0
NKE,-0.3411214945300899,-0.1558935355289219,14.0
CAT,-0.2922810058176227,0.1089866154703888,15.0
MRK,-0.2796934863221326,-0.134087237263187,16.0
HD,-0.2719298233687288,0.1748251736026211,17.0
AMGN,-0.2666666657777777,0.0034364261050294,18.0
CRM,-0.2357723570846277,0.1604095557665203,19.0
AXP,-0.2205714283193469,0.999999000001,20.0
PG,-0.1773049642246366,0.9999997500000624,21.0
MCD,-0.1573137073069791,0.4285714272404614,22.0
SHW,-0.1523178802903381,0.999999000001,23.0
UNH,-0.1408114555111898,0.0429447850126086,24.0
KO,-0.1290322579257717,0.0222222221987066,25.0
WMT,-0.1120331945558788,0.9999996666667778,26.0
AMZN,-0.0864197527307829,0.0967741930280957,27.0
VZ,-0.0818181816322314,0.999999000001,28.0
IBM,0.0,0.0,29.0
JPM,0.999999000001,0.999999000001,30.0
