Year,Company,sentiment_score_positive,sentiment_score_negative,sentiment_score_polarity,sentiment_score_subjectivity,similarity_score,nlp_result
2010,AAPL,66.0,144.0,-0.371428569659864,0.047436187023393674,0.9625666462960254,0
2010,AMGN,106.0,106.0,0.0,0.04577844956903942,0.9621183743764586,0
2010,AMZN,110.0,92.0,0.08910891044995589,0.05693348363671548,0.0,0
2010,AXP,1.0,0.0,0.9999990000010001,0.041666664930555625,0.0,0
2010,BA,183.0,379.0,-0.348754447778017,0.07388903496267564,0.9829547178971225,0
2010,CAT,1.0,1.0,0.0,0.04444444345679015,0.892935451145154,0
2010,CRM,81.0,108.0,-0.14285714210128497,0.04358856087555614,0.9967634132661718,0
2010,CSCO,174.0,425.0,-0.41903171883300216,0.05891610110564413,0.21851891710042878,0
2010,CVX,0.0,0.0,0.0,0.0,1.0000000000000004,0
2010,DIS,123.0,192.0,-0.21904761835222977,0.04666666665975308,0.9984960935523456,0
2010,GS,282.0,763.0,-0.46028708089924675,0.05918332672259255,0.983204723832229,0
2010,HD,72.0,83.0,-0.07096774147762748,0.0475606013968823,0.9803293298410485,0
2010,HON,206.0,268.0,-0.13080168748776017,0.060972472335866675,0.988674852803541,0
2010,IBM,0.0,0.0,0.0,0.0,0.9080185510304297,0
2010,JNJ,1.0,0.0,0.9999990000010001,0.026315788781163457,0.9700769266025397,0
2010,JPM,1.0,0.0,0.9999990000010001,0.031249999023437534,0.9469358080921138,0
2010,KO,405.0,525.0,-0.12903225792577178,0.05634997576003696,0.9901385465573748,0
2010,MCD,192.0,88.0,0.37142857010204083,0.0414139920068904,0.9868008199491768,0
2010,MMM,212.0,283.0,-0.1434343431445771,0.06120178040786328,0.991715402690534,0
2010,MRK,352.0,580.0,-0.2446351928705631,0.060831538407360386,0.9946836009032656,0
2010,MSFT,99.0,120.0,-0.09589041052104835,0.03631238599961658,0.9703686277651076,0
2010,NKE,173.0,243.0,-0.16826923036473743,0.05455022291443086,0.9827514448610593,0
2010,NVDA,150.0,357.0,-0.40828402286334514,0.07504440496224919,0.9910442161903144,0
2010,PG,4.0,0.0,0.9999997500000625,0.0377358487006052,0.9612345757186528,0
2010,SHW,1.0,0.0,0.9999990000010001,0.034482757431629055,0.9501707222624467,0
2010,TRV,368.0,1899.0,-0.6753418611930562,0.10770107843091353,0.9879946597419929,0
2010,UNH,161.0,180.0,-0.05571847490991649,0.05922195205640466,0.9971006982089432,0
2010,V,130.0,237.0,-0.29155313272056366,0.05043980208212757,0.996324829768014,0
2010,VZ,1.0,0.0,0.9999990000010001,0.032258063475546335,0.9774808920424005,0
2010,WMT,3.0,0.0,0.9999996666667778,0.07894736634349037,0.9999999999999998,0
2011,AAPL,70.0,138.0,-0.32692307535133136,0.04637681158386247,0.9913101843989822,0
2011,AMGN,111.0,123.0,-0.05128205106289722,0.044360189565050195,0.846317432193239,0
2011,AMZN,116.0,100.0,0.07407407373113854,0.05812701828360414,0.9975051351916047,0
2011,AXP,1.0,0.0,0.9999990000010001,0.041666664930555625,0.8939305715734562,0
2011,BA,188.0,338.0,-0.2851711021194466,0.07312665090044117,0.993383752503048,0
2011,CAT,1.0,1.0,0.0,0.04444444345679015,1.0,0
2011,CRM,170.0,166.0,0.011904761869331065,0.05358851673786467,0.9955755170916798,0
2011,CSCO,139.0,409.0,-0.4927007290279184,0.05741827325467118,0.9945570351347751,0
2011,CVX,0.0,0.0,0.0,0.0,1.0000000000000004,0
2011,DIS,129.0,174.0,-0.1485148509950005,0.04536607275859169,0.9989740662224891,0
2011,GS,285.0,847.0,-0.4964664306568317,0.05481574741877799,0.8252951323025449,0
2011,HD,77.0,64.0,0.09219858090639305,0.045853658521673606,0.7412766079113229,0
2011,HON,218.0,274.0,-0.11382113798003834,0.06101947165310437,0.9981030208071506,0
2011,IBM,0.0,0.0,0.0,0.0,0.9080185510304297,0
2011,JNJ,1.0,0.0,0.9999990000010001,0.026315788781163457,0.9728115603613562,0
2011,JPM,1.0,0.0,0.9999990000010001,0.031249999023437534,0.770494647481809,0
2011,KO,454.0,446.0,0.008888888879012345,0.05306603773272016,0.9671544123541727,0
2011,MCD,188.0,85.0,0.37728937590736494,0.04057669440538396,0.9983981304702384,0
2011,MMM,213.0,246.0,-0.0718954246799664,0.05202901835728531,0.9881452417229227,0
2011,MRK,336.0,537.0,-0.2302405495644438,0.06042777046719542,0.968246663991877,0
2011,MSFT,96.0,129.0,-0.14666666601481482,0.03749999999375,0.9949837013659956,0
2011,NKE,179.0,261.0,-0.18636363594008265,0.049134561691888935,0.9962321916852476,0
2011,NVDA,146.0,303.0,-0.3496659234974033,0.0707866939822187,0.9621582808558268,0
2011,PG,239.0,300.0,-0.1131725415340027,0.05898446048818292,0.610045856264166,0
2011,SHW,1.0,0.0,0.9999990000010001,0.034482757431629055,0.917423502566072,0
